Timestamp,Fees
1684454400,78487.51895578962
1684540800,53050.2960447159
1684627200,59253.69089642999
1684713600,71549.46024673911
1684800000,75725.63829342807
1684886400,97711.48318443973
1684972800,71540.33570631035
1685059200,61657.54367656712
1685145600,32256.638038143443
1685232000,109282.81441791455
1685318400,103703.38900395861
1685404800,112351.10706508113
1685491200,112717.73924336866
1685577600,91772.22109646803
1685664000,98042.61562744538
1685750400,48102.50002014345
1685836800,54302.8925773348
1685923200,189805.4964311947
1686009600,167004.22336494655
1686096000,148296.85529479577
1686182400,70906.69919762714
1686268800,64497.79225216773
1686355200,259126.07068418176
1686441600,66093.79130764102
1686528000,109846.21070196175
1686614400,119182.97144578154
1686700800,131713.0656863702
1686787200,106808.04067683642
1686873600,71823.4343918958
1686960000,56754.94160092718
1687046400,40464.31416173824
1687132800,87737.0556180956
1687219200,129696.35416816719
1687305600,248756.25495714496
1687392000,155912.88547868803
1687478400,171805.7748182429
1687564800,76437.50620611504
1687651200,116678.16547354279
1687737600,171093.15174601047
1687824000,123113.86480215915
1687910400,121927.15010863496
1687996800,100891.76475499607
1688083200,266849.47275007394
1688169600,109820.87818818238
1688256000,111531.20843315896
1688342400,158330.62041867527
1688428800,110210.6866377792
1688515200,140271.44643265902
