,block,fee0,fee1,positionValue0,open_time,token0_usd,token1_usd,daily_LVR_USD,abs_profit,plair
0,17285193,3.428780967673576,0.0019343523643563,4272.162413082446,2023-05-18,1.34,1826.78,5.79502916600042,2.3331735428409743,0.0004075627556598274
1,17292393,3.952297614178111,0.0034332122653566,4298.875969943515,2023-05-19,1.32,1807.44,8.152831858563607,3.2695261690476336,0.0005761770708780349
2,17299593,0.6374171647195066,4.836951616000052e-05,4304.0918065550995,2023-05-20,1.31,1814.58,4.673819204240044,-3.751032361823877,-0.0006652700757793762
3,17306793,6.040995383702938,0.0045701373097993,4330.066686541228,2023-05-21,1.3,1815.23,6.544617758403706,9.604526589277096,0.001706231776829392
4,17313993,2.0469777355156893,0.0006306410802338989,4332.148819901156,2023-05-22,1.29,1816.38,5.217948340737723,-1.4318632166072347,-0.0002562173027489319
5,17321193,4.909631793204696,0.0024822888495213014,4332.600180655782,2023-05-23,1.3,1855.78,5.7204241754535134,5.268679156877233,0.0009354267533777736
6,17328393,3.6220733344133222,0.0025762308542564005,4345.690395376403,2023-05-24,1.25,1816.98,5.745259381646882,3.463292223936566,0.0006375589439360586
7,17335593,21.573796535275463,0.0195942103292699,4354.482482798985,2023-05-25,1.24,1786.51,5.391913797537642,56.3648466015479,0.010438788451307123
8,17342793,3.2535038694575746,0.007384924202417396,4348.218281820425,2023-05-26,1.25,1812.0,3.2596253964948394,14.188737095107449,0.0026104921465289815
9,17349993,2.679914062146686,0.0014368368332475026,4357.986607985793,2023-05-27,1.28,1825.56,3.996313220600375,2.0570086282506947,0.0003687569823817353
10,17364393,6.042388163673735,0.003155461048333502,4401.128149934449,2023-05-29,1.29,1902.87,5.4290337969441325,8.370079099237358,0.0014742659584584372
11,17371593,8.491351160535302,0.0048918835175708955,4433.086586533237,2023-05-30,1.26,1914.26,4.963407153009746,15.100032251609996,0.0027033427718394063
12,17378793,0.7426537544161818,0.00013281747565821456,4273.307085084115,2023-05-31,1.18,1865.01,2.88743707012254,-1.763399719634119,-0.0003497072670669997
13,17385993,0.8272235752549904,0.0004742755543639954,4083.5122867085456,2023-06-01,1.2,1859.7,3.1336713639616662,-1.2589928252049556,-0.00025692605140082895
14,17393193,0.7376802946770908,0.0008625525056479982,4064.276936776659,2023-06-02,1.22,1890.15,2.987632756379703,-0.4573091783230878,-9.222885020396796e-05
15,17400393,1.309773820198373,0.0010075566845015038,4047.011500276591,2023-06-03,1.25,1903.24,2.722977581388032,0.8318618780705762,0.00016443973594119473
16,17407593,3.590162812641495,0.0020710869799535903,4057.9410079016247,2023-06-04,1.26,1905.44,3.2662889599042444,5.203648159106809,0.001017727828796157
17,17414793,13.450120152107402,0.006893462264604411,4210.647580788396,2023-06-05,1.2,1865.79,10.003592433485196,18.99830470771995,0.0037599728512074325
18,17421993,4.0688363990289815,0.0018640724480888937,4222.940892579326,2023-06-06,1.068,1830.14,5.661376951807971,2.0956538725003897,0.0004646578716051566
19,17457993,9.944987620768657,0.006124995607035,4160.5646514147165,2023-06-12,0.841632,1742.34,1.568470566553278,17.47337410065085,0.004990019705098382
20,17465193,0.8934820593699868,0.0004996221658354061,4087.4103398226307,2023-06-13,0.877125,1735.5,1.5263837156076356,0.12440600452461137,3.470017088780984e-05
21,17472393,0.9369818149412481,0.0008350583201403999,4105.440968369037,2023-06-14,0.880235,1737.24,3.1132089363314126,-0.8377480323758943,-0.0002318221725729419
22,17479593,9.850943737139033,0.005495033170313898,3967.2404768779184,2023-06-15,0.881663,1737.57,3.2186753484214883,15.014542045438045,0.004292605212649935
23,17486793,6.18191545847526,0.0023214835604244977,4108.273864382742,2023-06-16,0.824056,1636.13,2.2091447852348223,6.683348637531799,0.001974140254203201
24,17493993,3.996745281427849,0.0022158782179466097,4124.839257194126,2023-06-17,0.848943,1693.15,1.7870329118225374,5.357790222344967,0.0015300306988089791
